101: 角色经验
100850: 水中找到的货物袋
100851: 无名小岛的壁画
100852: 清晰的记录画片
100853: 还算清晰的记录画片
100854: 略有模糊的记录画片
100855: 一把被废弃的刀
100856: 一壶酒
100857: 一把无主的刀
100858: 一袋花种
100859: 奇异的海螺
100860: （test）寻人启事
100861: 将于明日逝去的贤者埃托莉亚
100862: 诚实猫的小范围谎言
100863: 文学团
100864: 锈蚀的钥匙
100865: 附有记忆的面具（废弃）
100866: 「堇鬼」的刀
100867: 「赤鬼」的刀
100868: 「御神签」
100869: 「御神签」
100870: 「御神签」
100871: 「御神签」
100872: 「御神签」
100873: 「御神签」
100874: 「御神签」
100875: 给常九爷的礼物
100876: 给「枕玉」的礼物
100880: 牢笼钥匙
100881: 金属钥匙
100882: 竺子的家书
100883: 字迹模糊的签
100884: 破损的纸条
100885: 华美的丝绸
100886: 特制食谱：烤蘑菇披萨
100887: （test）打包好的烤蘑菇披萨
100888: （test）华丽的着物
100889: 卯师傅特制香嫩椒椒鸡
100890: 香菱的手抄笔记
100891: 泛黄的信件
100892: 瓦希德捏制的饭团
100893: 「长野原烟花店」的纸条
100894: 御灵珠
100895: 月浴渊之钥
100896: 奇特的水瓶
100897: 饱含「愿望」的水
100898: 「灵草」所需的水
100899: 林藏的信
100900: 林藏的徽记
100901: 被藏匿的账本
100902: 「木漏茶室」邀请函
100903: 似乎是一封情信
100904: 被煮熟的肉
100905: 《第七个武士》台本
100906: (test)带信封的信
100907: 某人留下的纸条
100908: 竹签
100909: 竹签
100910: 竹签
100911: 竹签
100912: 竹签
100913: 竹签
100914: 竹签
100915: (test)破破烂烂的纸片
100916: 略带香味的书信
100917: 通行凭证
100918: 九条镰治的亲笔信
100919: 点心盒
100920: 暗淡御辔
100921: 御辔
100922: 狭间的苏生之辔碎片
100923: 庙前的苏生之辔碎片
100924: 蛇心的苏生之辔碎片
100925: 苏生之辔
100926: 狭间的供奉
100927: 庙前的供奉
100928: 蛇心的供奉
100929: 常世国龙蛇传
100930: 深海龙蜥实验记录
100931: 日月前事
100932: 白夜国地理水文考
100933: 光昼影底集
100934: 键纹
100935: 键纹
100936: 键纹
100937: 键纹
100938: 键纹
100939: 血枝珊瑚
100940: 神舆之辔
100941: 伊达的认可状
100942: 伊达的认可状
100943: 密室钥匙
100944: 忘川之水
100945: 龙骨花凝珠
100946: 通往某处的钥匙
100947: 通往某处的钥匙
100948: 通往某处的钥匙
100949: 晒干的甜甜花
100950: 奇特的羽毛
100951: 木簧笛
100952: 木簧笛
100953: （test）雷鸟破损羽毛
100954: （test）雷鸟羽毛小道具
100955: 被「祟神」影响的鬼兜虫
100956: 遗失的零件
100957: 戴丧面具
100958: 无想刃狭间·磐柱镶珠
100959: 无想刃狭间·磐柱镇石
100960: 蛇神之首·磐柱镶珠
100961: 蛇神之首·磐柱镇石
100962: 蛇骨矿洞·磐柱镶珠
100963: 蛇骨矿洞·磐柱镇石
100964: 无明砦·磐柱镶珠
100965: 无明砦·磐柱镇石
100966: 「鸣草」的种子
100967: 优质「冷鲜肉」
100968: 热腾腾的红烩兽肉
100969: 一封家信
100970: 残破的信笺
100971: 药师的笔记本·一
100972: 药师的笔记本·二
100973: 药师的笔记本·三
100974: 开封的信笺
100975: 稻叶藤三郎久藏 绝笔
100976: 如星的宝珠
100977: 石板
100978: 「神居岛崩炮」位置图
100979: 秘密笔记
100980: 优质稻米
100981: 清香的米饭布丁
100982: 被风史莱姆吞下过的竹笋
100983: 热腾腾的文心豆腐
100984: 装着化石的袋子
100985: 「宝库」的钥匙
100986: 残缺的笔记
100987: 破烂的纸条
100988: 「清籁岛」的记录画片
100989: 「清籁岛」的记录画片·之二
100990: 「清籁岛」的记录画片·之三
100991: 「清籁岛」的记录画片·之四
100992: 藤原俊子的「宝图」
100993: 一袋豆子
100994: （test）弱小的鬼兜虫
100995: 从右侧拍摄的画片
100996: 从左侧拍摄的画片
100997: 成色较差的星银矿石
100998: 成色较好的星银矿石
100999: 钥匙
101000: 装衣服的方盒
101501: 《鹮巷物语·序》残页
101502: 《鹮巷物语·一》残页
101503: 《鹮巷物语·二》残页
101504: 《鹮巷物语·三》残页
101505: 《鹮巷物语·四》残页
101506: 《鹮巷物语·五》残页
101507: 鹮巷物语·序
101508: 鹮巷物语·一
101509: 鹮巷物语·二
101510: 鹮巷物语·三
101511: 鹮巷物语·四
101512: 鹮巷物语·五
101513: 通行证明
101514: 团子牛奶
101515: 洞天关牒
101516: （test）暂借的留影机
101517: 特殊的绯樱绣球
101518: 生活在雷樱树旁的螃蟹
101519: 新鲜的海草
101539: 螃蟹诱饵
101520: 新鲜的绯樱绣球
101521: 新鲜的金鱼草
101522: 新鲜的鸟蛋
101538: 新鲜的蘑菇
101523: 新六狐传·序
101524: 新六狐传·一
101525: 新六狐传·二
101526: 新六狐传·三
101527: 新六狐传·四
101528: 珊瑚宫记
101529: 哈玛瓦兰战记·前言
101530: 哈玛瓦兰战记·一
101531: 哈玛瓦兰战记·二
101532: 沉秋拾剑录·一
101533: 沉秋拾剑录·二
101534: 沉秋拾剑录·三
101535: 沉秋拾剑录·四
101536: 沉秋拾剑录·五
101537: 神樱大祓要略
101541: 冒险家罗尔德的日志·离岛
101540: 谁人的日志·其五·刃连岛
101542: 鸣神大社的御守
101543: 天领奉行上奏公文
101544: 天领奉行的密信
101545: 特大号烟花
101546: 特殊的魔晶矿
101547: 矿渣
101548: 亡国的美奈姬·卷一
101549: 亡国的美奈姬·卷二
101550: 亡国的美奈姬·卷三
101551: 亡国的美奈姬·卷四
101552: 亡国的美奈姬·卷五
101553: 亡国的美奈姬·卷六
101554: 菲谢尔皇女夜谭·第零卷
101558: 提瓦特游览指南·稻妻篇
101559: 装有信件的漂流瓶
101560: 鬼武道
101561: 鸣神大社的御守
101570: 招运御守
101571: 一盒钉子
101572: 木板
101573: 绳子
101574: （test）奶奶的花
101575: 木户的香包
101576: 「藏宝图」的碎片
101577: 「藏宝图」的碎片
101578: 「藏宝图」的碎片
101579: 「藏宝图」的碎片
101580: 留给岻伽的「藏宝图」
101581: 牧梨的护身符
101582: 通用型定向传导元件
101583: 锈蚀的钥匙
101584: 沉重的钥匙
101585: 完整的钥匙
101586: 墨田的信
101587: 新型烟花
101588: 新六狐传·五
101589: 北国银行钱票
101590: 十分潦草的藏宝图
101591: 木南杏奈的「活力喵饭」
101592: 逢岳的石块
101593: 通用型定向传导元件
101594: 通用型定向传导元件
101595: 通用型定向传导元件
101596: 珊瑚宫民间信仰初勘
101597: 巫女曚云小传
101598: 「东王」史辩
101599: 珍说澄研真影打·卷一
101600: 神秘的石块
101601: 冒险家罗尔德的日志·鹤观
101602: 新鲜的禽肉
101603: 新鲜的鱼肉
101604: 一袋回收品
101605: 修好的梳子
101606: 谜之传单
101607: 严谨的日程安排表
101608: 简要的日程安排表
101609: 碎星铁矿
101610: 秘华石
101611: 千奇核心
101612: 仙家符箓
101613: 村庄变迁记录
101614: 残破的笔记
101615: 山石杂谈
101616: 字迹工整的信
101617: 小蒙的漂流瓶
101618: 流明石
101619: 沐宁的纸条
101620: 藏宝图碎片
101621: 盗宝团的藏宝图
101622: 库房安全钥匙·甲字号
101623: 库房安全钥匙·乙字号
101624: 一组弹丸
101625: 特殊的磐石精油
101626: 「岩厅之钥」
101627: 奇怪岩石照片
101628: 教令院举荐信
101629: 渊青宝珠
101630: 铁制的钥匙
101631: 矿工的钥匙
101632: 「才慧之瑞佑」
101633: 装有引信的「开山炮」炮弹
101634: 玩具娃娃
101635: 远眺之花
101636: 高翔之翎
101637: 岁时之晷
101638: 共饮之杯
101639: 庇佑之冠
101640: 同泽之枪
101641: 黄铜戒指
101642: 老石
101643: 干枯的种子
101644: 流明石原矿
101645: 岳川的漂流瓶
101648: 平泉的货物
101649: 牢房的钥匙
101650: 刚摘下的嘟嘟莲
101651: 刚摘下的小灯草
101652: 刚摘下的塞西莉亚花
101654: 遗迹机关的核心
101655: 伊达的钥匙
101656: 堆放的堇瓜
101657: 上好的香
101658: (test)黑夜植物
101659: 奇特的「魔方」
101660: 被人塞在身上的纸片
101661: 特制的「竹签」
101662: 「最终指令」
101663: 装衣服的纸包
101664: 特别的「御神签」
101665: 奇怪的物件
101666: 「磐键」位置示意图
101667: 轻飘飘的摩拉袋
101668: 充实的摩拉袋
101669: 丰美的鱼肉
101670: 字迹娟秀的留信
101671: 云堇的亲笔信
101672: 柳达希卡的信
101673: 柳达希卡的摩拉袋
101674: 「愚人众暗语表」
101675: 轻飘飘的钱袋
101676: 玛乔丽的礼物
101677: 维克多的礼物
101678: 新鲜的钩钩果
101679: 柳达希卡的签文
101680: 常世国龙蛇传
101681: 日月前事
101682: 白夜国地理水文考
101683: 深海龙蜥实验记录
101684: 光昼影底集
101685: 《旅行者的奇妙冒险》
101686: 《旅行者的奇妙冒险》
101687: 《旅行者的奇妙冒险》
101688: 《旅行者的奇妙冒险》
101689: （test）渊下宫水晶能量
101690: 沐宁的纸条
101691: 琉璃寒晶
101692: 光界之印
101693: 光界之核
101694: 染血的士官徽记
101695: 尼古拉下士的笔记
101696: 尼古拉下士的日志
101697: 摩拉钱袋
101698: 《真实探灵笔记》
101699: 梦樱
101700: 渊海髓矿
101701: 常世之荚
101702: 壳之宝石
101703: 破碎的饰品
101704: 破碎的饰品
101706: 阿祇的地图
101707: 「薄缘满光天目」
101708: 木笼的钥匙
101709: 破损的石板
101710: 神秘的石板
101711: 彦博的字条
101712: 尼古拉的信
101713: （test）光能球
101714: 香气四溢的调料
101715: 香气四溢的素鲍鱼
101719: 香气四溢的凉拌薄荷
101720: 香气四溢的扣三丝
101724: 志琼的信
101725: 到港时刻表
101726: 五歌仙资料汇总
101727: 《五歌仙容彩·翠光篇》
101728: 《五歌仙容彩·葵之翁篇》
101729: 《五歌仙容彩·赤人篇》
101730: 《五歌仙容彩·墨染篇》
101731: 《五歌仙容彩·墨染篇》
101732: 古老的锻造图谱
101733: 枫原义庆的信
101734: 塔列辛的诗稿
101737: 香气四溢的清炒虾仁
101738: 香气四溢的金丝虾球
101739: 香气四溢的轻策农家菜
101740: 香气四溢的水煮黑背鲈
101741: 香气四溢的爆炒肉片
101742: 香气四溢的烤吃虎鱼
101743: 香气四溢的蟹黄豆腐
101744: 香气四溢的黄金蟹
101745: 香气四溢的珍珠翡翠白玉汤
101746: 香气四溢的腌笃鲜
101747: 香气四溢的山珍热卤面
101748: 香气四溢的摩拉肉
101749: 香气四溢的干炒鱼河
101750: 香气四溢的四方和平
101751: 香气四溢的米窝窝
101752: 香气四溢的杏仁豆腐
101753: 香气四溢的莲花酥
101754: 早柚的工资袋
101755: 御建鸣神主尊大御所大人像
101756: 心海的采购单
101757: 狐狸玩偶
101766: 沉秋拾剑录·六
101767: 转生成为雷电将军，然后天下无敌
101768: 拜托了我的狐仙宫司
101769: 出发吧！嘟嘟可
101797: 出发吧！嘟嘟可
101782: 瑾武的汤
101783: （test）神秘的信笺1
101784: （test）神秘的信笺2
101785: （test）神秘的信笺3
101786: （test）神秘的信笺4
101787: （test）神秘的信笺5
101788: （test）神秘的信笺6
101789: （test）神秘的信笺7
101790: （test）神秘的信笺8
101791: （test）神秘的信笺9
101792: （test）神秘的信笺10
101793: （test）神秘的信笺11
101794: （test）神秘的信笺12
101795: 一包首饰
102001: 火元素晶片
102002: 水元素晶片
102003: 草元素晶片
102004: 电元素晶片
102005: 风元素晶片
102006: 冰元素晶片
102007: 岩元素晶片
102008: 原初元素晶片
103001: 火炽奇卡卡
103002: 水润奇卡卡
103003: 草萌奇卡卡
103004: 电击奇卡卡
103005: 风纹奇卡卡
103006: 冰结奇卡卡
103007: 岩皮奇卡卡
103008: 原初奇卡卡
104001: 流浪者的经验
104002: 冒险家的经验
104003: 大英雄的经验
104011: 精锻用杂矿
104012: 精锻用良矿
104013: 精锻用魔矿
104101: 璀璨原钻碎屑
104102: 璀璨原钻断片
104103: 璀璨原钻块
104104: 璀璨原钻
104111: 燃愿玛瑙碎屑
104112: 燃愿玛瑙断片
104113: 燃愿玛瑙块
104114: 燃愿玛瑙
104121: 涤净青金碎屑
104122: 涤净青金断片
104123: 涤净青金块
104124: 涤净青金
104131: 生长碧翡碎屑
104132: 生长碧翡断片
104133: 生长碧翡块
104134: 生长碧翡
104141: 最胜紫晶碎屑
104142: 最胜紫晶断片
104143: 最胜紫晶块
104144: 最胜紫晶
104151: 自在松石碎屑
104152: 自在松石断片
104153: 自在松石块
104154: 自在松石
104161: 哀叙冰玉碎屑
104162: 哀叙冰玉断片
104163: 哀叙冰玉块
104164: 哀叙冰玉
104171: 坚牢黄玉碎屑
104172: 坚牢黄玉断片
104173: 坚牢黄玉块
104174: 坚牢黄玉
104201: 嬗变之尘
104301: 「自由」的教导
104302: 「自由」的指引
104303: 「自由」的哲学
104304: 「抗争」的教导
104305: 「抗争」的指引
104306: 「抗争」的哲学
104307: 「诗文」的教导
104308: 「诗文」的指引
104309: 「诗文」的哲学
104310: 「繁荣」的教导
104311: 「繁荣」的指引
104312: 「繁荣」的哲学
104313: 「勤劳」的教导
104314: 「勤劳」的指引
104315: 「勤劳」的哲学
104316: 「黄金」的教导
104317: 「黄金」的指引
104318: 「黄金」的哲学
104319: 智识之冕
104320: 「浮世」的教导
104321: 「浮世」的指引
104322: 「浮世」的哲学
104323: 「风雅」的教导
104324: 「风雅」的指引
104325: 「风雅」的哲学
104326: 「天光」的教导
104327: 「天光」的指引
104328: 「天光」的哲学
105001: （废弃）祝圣之滴
105002: 祝圣油膏
105003: 祝圣精华
105004: （废弃）祝圣之精华
106000: 测试用体力成长道具
106001: 测试用体力临时增长道具
107001: 散失的风神瞳
107002: 元素晶尘
107003: 散失的岩神瞳
107004: 冒险宝藏包
107005: 飞天大御剑宝箱
107006: 蒙德地灵龛之钥
107007: 璃月地灵龛之钥
107008: 稻妻地灵龛之钥
107009: 脆弱树脂
107010: 绯红玉髓
107011: 绯红玉髓（纯表现）
107012: 须臾树脂
107013: 仙速瓶
107014: 散失的雷神瞳
107015: 逐月符
107016: 流明晶石
108000: 料理
108001: 奇怪的渔人吐司
108002: 渔人吐司
108003: 美味的渔人吐司
108004: 奇怪的提瓦特煎蛋
108005: 提瓦特煎蛋
108006: 美味的提瓦特煎蛋
108007: 奇怪的烤肉排
108008: 烤肉排
108009: 美味的烤肉排
108010: 侦察骑士烤肉！
108011: 奇怪的野菇鸡肉串
108012: 野菇鸡肉串
108013: 美味的野菇鸡肉串
108014: 果香串烤
108015: 奇怪的火火肉酱面
108016: 火火肉酱面
108017: 美味的火火肉酱面
108018: 魔法肉酱面
108019: 奇怪的萝卜时蔬汤
108020: 萝卜时蔬汤
108021: 美味的萝卜时蔬汤
108022: 奇怪的庄园烤松饼
108023: 庄园烤松饼
108024: 美味的庄园烤松饼
108025: 奇怪的炸萝卜丸子
108026: 炸萝卜丸子
108027: 美味的炸萝卜丸子
108028: 奇怪的满足沙拉
108029: 满足沙拉
108030: 美味的满足沙拉
108031: 奇怪的甜甜花酿鸡
108032: 甜甜花酿鸡
108033: 美味的甜甜花酿鸡
108034: 奇怪的北地烟熏鸡
108035: 北地烟熏鸡
108036: 美味的北地烟熏鸡
108037: 奇怪的白汁时蔬烩肉
108038: 白汁时蔬烩肉
108039: 美味的白汁时蔬烩肉
108040: 辣味时蔬烩肉
108041: 奇怪的烤蘑菇披萨
108042: 烤蘑菇披萨
108043: 美味的烤蘑菇披萨
108044: 提神醒脑披萨
108045: 奇怪的蒙德土豆饼
108046: 蒙德土豆饼
108047: 美味的蒙德土豆饼
108048: 爪爪土豆饼
108049: 奇怪的嘟嘟莲海鲜羹
108050: 嘟嘟莲海鲜羹
108051: 美味的嘟嘟莲海鲜羹
108052: 奇怪的黄油松茸
108053: 黄油松茸
108054: 美味的黄油松茸
108055: 奇怪的「堆高高」
108056: 「堆高高」
108057: 美味的「堆高高」
108058: 「蒙德往事」
108059: 奇怪的冷肉拼盘
108060: 冷肉拼盘
108061: 美味的冷肉拼盘
108062: 奇怪的蜜酱胡萝卜煎肉
108063: 蜜酱胡萝卜煎肉
108064: 美味的蜜酱胡萝卜煎肉
108065: 奇怪的蟹黄火腿焗时蔬
108066: 蟹黄火腿焗时蔬
108067: 美味的蟹黄火腿焗时蔬
108068: 奇怪的翡玉什锦袋
108069: 翡玉什锦袋
108070: 美味的翡玉什锦袋
108071: 奇怪的中原杂碎
108072: 中原杂碎
108073: 美味的中原杂碎
108074: 奇怪的水煮黑背鲈
108075: 水煮黑背鲈
108076: 美味的水煮黑背鲈
108077: 奇怪的松鼠鱼
108078: 松鼠鱼
108079: 美味的松鼠鱼
108080: 奇怪的杏仁豆腐
108081: 杏仁豆腐
108082: 美味的杏仁豆腐
108083: 奇怪的香嫩椒椒鸡
108084: 香嫩椒椒鸡
108085: 美味的香嫩椒椒鸡
108086: 奇怪的珍珠翡翠白玉汤
108087: 珍珠翡翠白玉汤
108088: 美味的珍珠翡翠白玉汤
108089: 奇怪的松茸酿肉卷
108090: 松茸酿肉卷
108091: 美味的松茸酿肉卷
108092: 奇怪的摩拉肉
108093: 摩拉肉
108094: 美味的摩拉肉
108095: 奇怪的蒙德烤鱼
108096: 蒙德烤鱼
108097: 美味的蒙德烤鱼
108098: 奇怪的爆炒肉片
108099: 爆炒肉片
108100: 美味的爆炒肉片
108101: 奇怪的黄金蟹
108102: 黄金蟹
108103: 美味的黄金蟹
108104: 奇怪的水晶虾
108105: 水晶虾
108106: 美味的水晶虾
108107: 奇怪的烤吃虎鱼
108108: 烤吃虎鱼
108109: 美味的烤吃虎鱼
108110: 奇怪的风神杂烩菜
108111: 风神杂烩菜
108112: 美味的风神杂烩菜
108113: 真·风神杂烩菜
108114: 至高的智慧（生活）
108115: 鱼香吐司
108116: 提瓦特焦蛋
108117: 祝圣交响乐
108118: 厚云朵松饼
108119: 奇怪的莲子禽蛋羹
108120: 莲子禽蛋羹
108121: 美味的莲子禽蛋羹
108122: 奇怪的仙跳墙
108123: 仙跳墙
108124: 美味的仙跳墙
108125: 奇怪的金丝虾球
108126: 金丝虾球
108127: 美味的金丝虾球
108128: 奇怪的轻策农家菜
108129: 轻策农家菜
108130: 美味的轻策农家菜
108131: 奇怪的来来菜
108132: 来来菜
108133: 美味的来来菜
108134: 绝对不是下酒菜
108135: 万民堂水煮鱼
108136: 江湖百味
108137: 「美梦」
108138: 炝炒肉片
108139: 乾坤摩拉肉
108140: 没有未来菜
108141: 奇怪的山珍热卤面
108142: 山珍热卤面
108143: 美味的山珍热卤面
108144: 山珍凉卤面
108145: 绝境求生烤鱼
108146: 伍玖叁式营养餐
108147: 圣水
108148: 大碗茶
108149: 冰钩钩果汁
108150: 树莓薄荷饮
108151: 苹果酿
108152: 奇怪的腌笃鲜
108153: 腌笃鲜
108154: 美味的腌笃鲜
108155: 奇怪的扣三丝
108156: 扣三丝
108157: 美味的扣三丝
108158: 奇怪的天枢肉
108159: 天枢肉
108160: 美味的天枢肉
108161: 奇怪的莲花酥
108162: 莲花酥
108163: 美味的莲花酥
108164: 奇怪的月亮派
108165: 月亮派
108166: 美味的月亮派
108167: 奇怪的冒险家蛋堡
108168: 冒险家蛋堡
108169: 美味的冒险家蛋堡
108170: 奇怪的北地苹果焖肉
108171: 北地苹果焖肉
108172: 美味的北地苹果焖肉
108173: 文火慢炖腌笃鲜
108174: 摇·滚·鸡！
108175: 极致一钓
108176: 奇怪的蟹黄豆腐
108177: 蟹黄豆腐
108178: 美味的蟹黄豆腐
108179: 奇怪的明月蛋
108180: 明月蛋
108181: 美味的明月蛋
108182: 奇怪的干锅腊肉
108183: 干锅腊肉
108184: 美味的干锅腊肉
108185: 奇怪的干炒鱼河
108186: 干炒鱼河
108187: 美味的干炒鱼河
108188: 奇怪的素鲍鱼
108189: 素鲍鱼
108190: 美味的素鲍鱼
108191: 奇怪的岩港三鲜
108192: 岩港三鲜
108193: 美味的岩港三鲜
108194: 奇怪的清炒虾仁
108195: 清炒虾仁
108196: 美味的清炒虾仁
108197: 奇怪的米窝窝
108198: 米窝窝
108199: 美味的米窝窝
108200: 幽幽大行军
108201: 奇怪的四方和平
108202: 四方和平
108203: 美味的四方和平
108204: 奇怪的稠汁蔬菜炖肉
108205: 稠汁蔬菜炖肉
108206: 美味的稠汁蔬菜炖肉
108207: 奇怪的黄油煎鱼
108208: 黄油煎鱼
108209: 美味的黄油煎鱼
108210: 奇怪的绝云锅巴
108211: 绝云锅巴
108212: 美味的绝云锅巴
108213: 盛世太平
108214: 「林之梦」
108215: 海灯节特色烤吃虎鱼
108216: 海灯节特色炸萝卜丸子
108217: 海灯节特色禽蛋羹
108218: 海灯节特色白玉汤
108219: 海灯节特色热卤面
108220: 海灯节特色来来菜
108221: 海灯节特色扣三丝
108222: 奇怪的鲜虾脆薯盏
108223: 鲜虾脆薯盏
108224: 美味的鲜虾脆薯盏
108225: 奇怪的薄荷果冻
108226: 薄荷果冻
108227: 美味的薄荷果冻
108228: 奇怪的凉拌薄荷
108229: 凉拌薄荷
108230: 美味的凉拌薄荷
108231: 奇怪的兽肉薄荷卷
108232: 兽肉薄荷卷
108233: 美味的兽肉薄荷卷
108234: 审判的晚宴
108235: 奇怪的大黄金吮指鸡
108236: 大黄金吮指鸡
108237: 美味的大黄金吮指鸡
108238: 奇怪的脆脆鸡腿堡
108239: 脆脆鸡腿堡
108240: 美味的脆脆鸡腿堡
108241: 奇怪的香浓土豆泥
108242: 香浓土豆泥
108243: 美味的香浓土豆泥
108244: 「自有方圆」
108245: 骇浪派
108246: 奇怪的鸡豆花
108247: 鸡豆花
108248: 美味的鸡豆花
108249: 奇怪的金枪鱼寿司
108250: 金枪鱼寿司
108251: 美味的金枪鱼寿司
108252: 奇怪的三彩团子
108253: 三彩团子
108254: 美味的三彩团子
108255: 奇怪的饭团
108256: 饭团
108257: 美味的饭团
108258: 奇怪的刺身拼盘
108259: 刺身拼盘
108260: 美味的刺身拼盘
108261: 奇怪的兽骨拉面
108262: 兽骨拉面
108263: 美味的兽骨拉面
108264: 奇怪的鸟蛋烧
108265: 鸟蛋烧
108266: 美味的鸟蛋烧
108267: 奇怪的干烧香鱼
108268: 干烧香鱼
108269: 美味的干烧香鱼
108270: 奇怪的黄油蟹蟹
108271: 黄油蟹蟹
108272: 美味的黄油蟹蟹
108273: 奇怪的串串三味
108274: 串串三味
108275: 美味的串串三味
108276: 奇怪的味噌汤
108277: 味噌汤
108278: 美味的味噌汤
108279: 奇怪的渡来禽肉
108280: 渡来禽肉
108281: 美味的渡来禽肉
108282: 奇怪的绯樱饼
108283: 绯樱饼
108284: 美味的绯樱饼
108285: 奇怪的绀田煮
108286: 绀田煮
108287: 美味的绀田煮
108288: 奇怪的市井杂煮
108289: 市井杂煮
108290: 美味的市井杂煮
108291: 奇怪的什锦炒面
108292: 什锦炒面
108293: 美味的什锦炒面
108294: 奇怪的蟹黄壳壳烧
108295: 蟹黄壳壳烧
108296: 美味的蟹黄壳壳烧
108297: 奇怪的绯樱天妇罗
108298: 绯樱天妇罗
108299: 美味的绯樱天妇罗
108300: 「红炉一点雪」
108301: 雨奇晴好
108302: 夏祭游鱼
108303: 头晕回避术・改
108304: 特制风味烤蘑菇披萨
108305: 团子牛奶
108306: 奇怪的米饭布丁
108307: 米饭布丁
108308: 美味的米饭布丁
108309: 奇怪的红烩兽肉
108310: 红烩兽肉
108311: 美味的红烩兽肉
108312: 奇怪的文心豆腐
108313: 文心豆腐
108314: 美味的文心豆腐
108315: 奇怪的辣肉窝窝头
108316: 辣肉窝窝头
108317: 美味的辣肉窝窝头
108318: 奇怪的活力喵饭
108319: 活力喵饭
108320: 美味的活力喵饭
108321: 奇怪的甜虾寿司
108322: 甜虾寿司
108323: 美味的甜虾寿司
108324: 奇怪的鸟蛋寿司
108325: 鸟蛋寿司
108326: 美味的鸟蛋寿司
108327: 奇怪的蛋包饭
108328: 蛋包饭
108329: 美味的蛋包饭
108330: 奇怪的日落鲷鱼烧
108331: 日落鲷鱼烧
108332: 美味的日落鲷鱼烧
108333: 奇怪的多多烧
108334: 多多烧
108335: 美味的多多烧
108336: 奇怪的蒲烧鳗肉
108337: 蒲烧鳗肉
108338: 美味的蒲烧鳗肉
108339: 饱腹感凝胶
108340: 「奇策」
108341: 永恒的信仰
108342: 奇怪的鲜鱼炖萝卜
108343: 鲜鱼炖萝卜
108344: 美味的鲜鱼炖萝卜
108345: 奇怪的若竹煮
108346: 若竹煮
108347: 美味的若竹煮
108348: 奇怪的树莓水馒头
108349: 树莓水馒头
108350: 美味的树莓水馒头
108351: 奇怪的荞麦面
108352: 荞麦面
108353: 美味的荞麦面
108354: 「暖意」
108355: 奇怪的鳗肉茶泡饭
108356: 鳗肉茶泡饭
108357: 美味的鳗肉茶泡饭
108358: 奇怪的五宝腌菜
108359: 五宝腌菜
108360: 美味的五宝腌菜
108361: 奇怪的绯樱虾仙贝
108362: 绯樱虾仙贝
108363: 美味的绯樱虾仙贝
108364: 强者之道
108365: 常胜传说
108366: 奇怪的丰年有余
108367: 丰年有余
108368: 美味的丰年有余
108369: 奇怪的龙须面
108370: 龙须面
108371: 美味的龙须面
108372: 连心面
108373: 云遮玉
108374: 奇怪的山家烧
108375: 山家烧
108376: 美味的山家烧
108377: 奇怪的乌冬面
108378: 乌冬面
108379: 美味的乌冬面
108380: 福内乌冬
108381: 奇怪的炸肉排三明治
108382: 炸肉排三明治
108383: 美味的炸肉排三明治
108384: 奇怪的紫苑云霓
108385: 紫苑云霓
108386: 美味的紫苑云霓
108387: 「静寂闲雅」
109000: 食谱道具
109101: 食谱：野菇鸡肉串
109102: 食谱：渔人吐司
109103: 食谱：火火肉酱面
109104: 食谱：甜甜花酿鸡
109106: 食谱：嘟嘟莲海鲜羹
109107: 食谱：黄油松茸
109201: 食谱：提瓦特煎蛋
109202: 食谱：北地烟熏鸡
109203: 食谱：白汁时蔬烩肉
109204: 食谱：冷肉拼盘
109205: 食谱：蜜酱胡萝卜煎肉
109206: 食谱：蟹黄火腿焗时蔬
109207: 食谱：烤蘑菇披萨
109301: 食谱：烤肉排
109302: 食谱：萝卜时蔬汤
109303: 食谱：蒙德土豆饼
109304: 食谱：「堆高高」
109401: 食谱：庄园烤松饼
109402: 食谱：炸萝卜丸子
109403: 食谱：满足沙拉
109404: 食谱：翡玉什锦袋
109405: 食谱：蒙德烤鱼
109406: 食谱：摩拉肉
109407: 食谱：爆炒肉片
109408: 食谱：杏仁豆腐
109409: 食谱：香嫩椒椒鸡
109410: 食谱：珍珠翡翠白玉汤
109411: 食谱：松茸酿肉卷
109412: 食谱：中原杂碎
109413: 食谱：水煮黑背鲈
109414: 食谱：松鼠鱼
109415: 食谱：黄金蟹
109416: 食谱：水晶虾
109417: 食谱：烤吃虎鱼
109418: 食谱：风神杂烩菜
109419: 食谱：莲子禽蛋羹
109420: 食谱：仙跳墙
109421: 食谱：金丝虾球
109422: 食谱：轻策农家菜
109423: 食谱：来来菜
109424: 食谱：山珍热卤面
109425: 食谱：腌笃鲜
109426: 食谱：扣三丝
109427: 食谱：天枢肉
109428: 食谱：莲花酥
109429: 食谱：月亮派
109430: 食谱：冒险家蛋堡
109431: 食谱：北地苹果焖肉
109432: 食谱：蟹黄豆腐
109433: 食谱：明月蛋
109434: 食谱：干锅腊肉
109435: 食谱：干炒鱼河
109436: 食谱：素鲍鱼
109437: 食谱：岩港三鲜
109438: 食谱：清炒虾仁
109439: 食谱：米窝窝
109440: 食谱：稠汁蔬菜炖肉
109441: 食谱：黄油煎鱼
109442: 食谱：四方和平
109443: 食谱：绝云锅巴
109444: 食谱：鲜虾脆薯盏
109445: 食谱：薄荷果冻
109446: 食谱：凉拌薄荷
109447: 食谱：兽肉薄荷卷
109448: 食谱：大黄金吮指鸡
